Exam,CutoffStatus,CollegeDunia,Shiksha,Careers360,CollegeDekho
Amadeus GDS Certification Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Amadeus+GDS+Certification+Examination,https://www.shiksha.com/hospitality-travel/fares-ticketing/colleges/amadeus-colleges-india?rf=searchWidget,https://www.careers360.com/courses/travel-and-tourism-course,
Amity University Entrance Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Amity+University+Entrance+Examination,https://www.shiksha.com/search?q=Amity%20University%20Entrance%20Examination&rf=searchWidget,https://engineering.careers360.com/exams/amity-jee,https://www.collegedekho.com/exam/amity-jee
Amrita Engineering Entrance Examination,Official Cutoff,https://collegedunia.com/exams/aeee,https://www.shiksha.com/engineering/aeee-exam?isource=csearch&rf=searchWidget,https://engineering.careers360.com/exams/aeee,https://www.collegedekho.com/exam/aeee
Anant National University Design Entrance Examination,No Cutoff Exists,https://collegedunia.com/university/59309-anant-national-university-anantu-ahmedabad,,https://www.careers360.com/university/anant-national-university-ahmedabad/courses/bdes-idpg,https://www.collegedekho.com/colleges/anant-national-university
Andhra Pradesh Engineering and Agriculture and Pharmacy Common Entrance Test,Official Cutoff,https://collegedunia.com/exams/ap-eapcet,https://www.shiksha.com/search?q=Andhra%20Pradesh%20Engineering%20and%20Agriculture%20and%20Pharmacy%20Common%20Entrance%20Test&rf=searchWidget,https://www.careers360.com/exams/ap-eamcet,https://www.collegedekho.com/exam/ap-eamcet
Andhra Pradesh Law Common Entrance Test,Official Cutoff,https://collegedunia.com/exams/ap-lawcet,https://www.shiksha.com/law/aplawcet-exam?isource=csearch&rf=searchWidget,https://law.careers360.com/exams/ap-lawcet,https://www.collegedekho.com/exam/ap-lawcet
Andhra Pradesh Polytechnic Entrance Examination,Official Cutoff,https://collegedunia.com/exams/ap-polycet,https://www.shiksha.com/college/animal-husbandry-polytechnic-venkataramannagudem-sri-venkateswara-veterinary-university-andhra-pradesh-other-101899?rf=searchWidget&landing=ilp&isource=csearch,https://engineering.careers360.com/exams/ap-polycet,https://www.collegedekho.com/exam/ap-polycet
Apeejay Design Entrance Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Apeejay+Design+Entrance+Examination,,https://www.careers360.com/university/apeejay-stya-university-sohna/admission,https://www.collegedekho.com/colleges/apeejay-institute-of-design
Armed Forces Medical College Entrance Examination,Official Merit List,https://collegedunia.com/college/10270-armed-forces-medical-college-afmc-pune,https://www.shiksha.com/college/armed-forces-medical-college-wanowrie-pune-22431?rf=searchWidget&landing=ilp&isource=csearch,https://medicine.careers360.com/articles/afmc-mbbs,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Army Institute of Fashion and Design Entrance Examination,No Cutoff Exists,https://collegedunia.com/exams/aifd-wat,https://www.shiksha.com/college/army-institute-of-fashion-and-design-kothanur-bangalore-25016?rf=searchWidget&landing=ilp&isource=csearch,https://design.careers360.com/,https://www.collegedekho.com/exam/aifd-oat
Arunachal Pradesh Polytechnic Entrance Examination,Official Cutoff,https://collegedunia.com/exams/apjee,,https://engineering.careers360.com/articles/polytechnic-admission-2026,https://www.collegedekho.com/articles/arunachal-pradesh-joint-entrance-exam-apjee/
Aryabhatta Knowledge University Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=Aryabhatta+Knowledge+University+Entrance+Examination,https://www.shiksha.com/university/aku-aryabhatta-knowledge-university-patna-58255?rf=searchWidget&landing=ilp&isource=csearch,https://www.careers360.com/university/aryabhatta-knowledge-university-patna,https://www.collegedekho.com/university/aryabhatta-knowledge-university-aku
Ashoka University Aptitude and Aptitude Test – Interdisciplinary,No Cutoff Exists,https://collegedunia.com/e-search?term=Ashoka+University+Aptitude+and+Aptitude+Test+%E2%80%93+Interdisciplinary,,https://university.careers360.com/download/sample-papers/ashoka-aptitude-assessment-sample-paper-2022,https://www.collegedekho.com/colleges/ashoka-university-qna
Assam Agriculture Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=Assam+Agriculture+Entrance+Examination,https://www.shiksha.com/search?q=Assam%20Agriculture%20Entrance%20Examination&rf=searchWidget,https://university.careers360.com/exams/aau-cet,https://www.collegedekho.com/university/assam-agricultural-university
Assam Combined Entrance Examination,Official Cutoff,https://collegedunia.com/exams/assam-cee,,https://engineering.careers360.com/exams/assam-cee,https://www.collegedekho.com/exam/assam-cee
Assam Polytechnic Entrance Examination,Official Cutoff,https://collegedunia.com/exams/assam-pat,https://www.shiksha.com/search?q=Assam%20Polytechnic%20Entrance%20Examination&rf=searchWidget,,
Auxiliary Nurse Midwifery Admission,No Cutoff Exists,https://collegedunia.com/e-search?term=Auxiliary+Nurse+Midwifery+Admission,https://www.shiksha.com/college/fatima-institute-of-medical-sciences-gorakhpur-89847/course-auxiliary-nurse-midwifery-anm-1013209?rf=searchWidget&landing=clp&isource=csearch,,
Avantika University Design Entrance Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Avantika+University+Design+Entrance+Examination,https://www.shiksha.com/university/avantika-university-ujjain-49129/course-b-des-in-communication-design-327837?rf=searchWidget&landing=clp&isource=csearch,https://www.careers360.com/university/avantika-university-ujjain/admission,https://www.collegedekho.com/colleges/avantika-university-admission
AVEE - Assam Veterinary Entrance Examination,Official Merit List,https://collegedunia.com/exams/aau-vet,https://www.shiksha.com/search?q=AVEE%20-%20Assam%20Veterinary%20Entrance%20Examination&rf=searchWidget,https://medicine.careers360.com/exams/aau-vet,
Azim Premji University Undergraduate Entrance Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Azim+Premji+University+Undergraduate+Entrance+Examination,https://www.shiksha.com/university/azim-premji-university/azim-premji-university-national-entrance-test-net-exam,https://www.careers360.com/university/azim-premji-university-bangalore/admission,https://www.collegedekho.com/university/azim-premji-university
Baba Farid University of Health Sciences Punjab Para Medical Entrance Test,Official Cutoff,https://collegedunia.com/e-search?term=Baba+Farid+University+of+Health+Sciences+Punjab+Para+Medical+Entrance+Test,,https://medicine.careers360.com/exams/ppmet,
Bachelor of Business Administration in Aviation Admission,No Cutoff Exists,https://collegedunia.com/courses/bachelor-of-business-administration-bba-aviation,,https://www.careers360.com/courses/bba-in-aviation,http://collegedekho.com/courses/bba-aviation
Bachelor of Hotel Management and Catering Technology Entrance Exam,Official Cutoff,https://collegedunia.com/exams/mah-bhmct-cet,https://www.shiksha.com/hospitality-travel/colleges/bhmct-college-india?rf=searchWidget,https://hospitality.careers360.com/exams/mah-bhmct-cet,
Bachelor of Science in Aviation Admission,No Cutoff Exists,https://collegedunia.com/courses/bachelor-of-science-bsc-aviation,,https://www.careers360.com/courses/bsc-in-aviation,https://www.collegedekho.com/bsc-aviation-colleges-in-maharashtra/
Bachelor of Science in Nautical Science Admission,Official Cutoff,https://collegedunia.com/courses/bachelor-of-science-bsc-nautical-science,https://www.shiksha.com/search?q=Bachelor%20of%20Science%20in%20Nautical%20Science%20Admission&rf=searchWidget,https://www.careers360.com/courses/bsc-in-nautical-science,https://www.collegedekho.com/courses/bsc-in-nautical-science
Banaras Hindu University Undergraduate Entrance Test – Law,Official Cutoff,https://collegedunia.com/exams/blat,,https://law.careers360.com/articles/bhu-llb,https://www.collegedekho.com/articles/bhu-llb-merit-list/
Bennett University Engineering Entrance Test,No Cutoff Exists,https://collegedunia.com/e-search?term=Bennett+University+Engineering+Entrance+Test,https://www.shiksha.com/university/bennett-university-greater-noida-48472/course-b-tech-in-computer-science-and-engineering-248740?rf=searchWidget&landing=clp&isource=csearch,https://www.careers360.com/university/bennett-university-greater-noida,https://www.collegedekho.com/colleges/bennett-university
Bharati Vidyapeeth Common Entrance Test,Official Merit List,https://collegedunia.com/exams/bvp-cet,https://www.shiksha.com/search?q=Bharati%20Vidyapeeth%20Common%20Entrance%20Test&rf=searchWidget,https://www.careers360.com/exams/bvp-cet,
Bihar Combined Entrance Competitive Examination,Official Cutoff,https://collegedunia.com/exams/bcece,,https://engineering.careers360.com/exams/bcece,https://www.collegedekho.com/exam/bcece
Bihar Engineering Entrance Examination,Official Cutoff,https://collegedunia.com/exams/bcece,,,
Bihar Polytechnic Common Entrance Competitive Examination,Official Cutoff,https://collegedunia.com/exams/dcece,,https://engineering.careers360.com/exams/dcece,https://www.collegedekho.com/exam/dcece
Bihar Sanskrit Studies Entrance,No Cutoff Exists,https://collegedunia.com/e-search?term=Bihar+Sanskrit+Studies+Entrance,,,
Birla Institute of Technology and Science Admission Test,Official Cutoff,https://collegedunia.com/exams/bitsat,https://www.shiksha.com/search?q=Birla%20Institute%20of%20Technology%20and%20Science%20Admission%20Test&rf=searchWidget,https://www.careers360.com/exams/bitsat,https://www.collegedekho.com/exam/bitsat
Birla Institute of Technology Mesra Entrance Examination,Official Cutoff,https://collegedunia.com/e-search?term=Birla+Institute+of+Technology+Mesra+Entrance+Examination,https://www.shiksha.com/university/birla-institute-of-technology-mesra-ranchi-24087?rf=searchWidget&landing=ilp&isource=csearch,,https://www.collegedekho.com/colleges/bit-mesra-admission
Cabin Crew Training Programme Admission,No Cutoff Exists,https://collegedunia.com/e-search?term=Cabin+Crew+Training+Programme+Admission,https://www.shiksha.com/college/iifly-aviation-training-centre-andheri-east-mumbai-29918/course-diploma-in-cabin-crew-airhostess-120994?rf=searchWidget&landing=clp&isource=csearch,,
Central Sanskrit University Entrance Examination – Sanskrit Studies,Official Merit List,https://collegedunia.com/e-search?term=Central+Sanskrit+University+Entrance+Examination+%E2%80%93+Sanskrit+Studies,,https://www.careers360.com/university/central-sanskrit-university-new-delhi/admission,
Central Teacher Eligibility Test,No Cutoff Exists,https://collegedunia.com/exams/ctet,https://www.shiksha.com/online-courses/central-teacher-eligibility-test-certification?q=Central%20Teacher%20Eligibility%20Test,https://competition.careers360.com/exams/ctet,https://www.collegedekho.com/exam/ctet
Chandigarh Polytechnic Entrance,Official Cutoff,https://collegedunia.com/e-search?term=Chandigarh+Polytechnic+Entrance,,,
Chandigarh University Common Entrance Test,No Cutoff Exists,https://collegedunia.com/e-search?term=Chandigarh+University+Common+Entrance+Test,https://www.shiksha.com/engineering/cucet-chandigarh-university-exam?isource=csearch&rf=searchWidget,https://www.careers360.com/exams/chandigarh-university-cucet,
Chandigarh University Common Entrance Test – Engineering,No Cutoff Exists,https://collegedunia.com/e-search?term=Chandigarh+University+Common+Entrance+Test+%E2%80%93+Engineering,https://www.shiksha.com/college/symbiosis-international-university-s-set-symbiosis-entrance-test-undergraduate-degree-programmes-telangana-rangareddy-hyderabad-48602/course-b-tech-in-computer-science-and-engineering-sit-hyderabad-304007?rf=searchWidget&landing=clp&isource=csearch,https://www.careers360.com/exams/chandigarh-university-cucet,https://www.collegedekho.com/exam/cuet
Chartered Accountancy Final Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Chartered+Accountancy+Final+Examination,,https://finance.careers360.com/exams/ca-final-exam,https://www.collegedekho.com/exam/ca-final
Chartered Accountancy Foundation Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Chartered+Accountancy+Foundation+Examination,https://www.shiksha.com/college/international-school-for-financial-studies-secunderabad-57757/course-chartered-accountancy-foundation-320121?rf=searchWidget&landing=clp&isource=csearch,https://finance.careers360.com/exams/ca-foundation-exam,https://www.collegedekho.com/exam/ca-foundation
Chartered Accountancy Intermediate Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Chartered+Accountancy+Intermediate+Examination,https://www.shiksha.com/college/international-school-for-financial-studies-secunderabad-57757/course-chartered-accountancy-intermediate-320123?rf=searchWidget&landing=clp&isource=csearch,https://finance.careers360.com/exams/ca-intermediate-exam,https://www.collegedekho.com/exam/ca-intermediate
Chennai Mathematical Institute Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=Chennai+Mathematical+Institute+Entrance+Examination,https://www.shiksha.com/university/chennai-mathematical-institute-cmi-2449?rf=searchWidget&landing=ilp&isource=csearch,https://www.careers360.com/university/chennai-mathematical-institute-chennai/admission,
Chhattisgarh Agriculture Entrance Examination,Official Cutoff,https://collegedunia.com/e-search?term=Chhattisgarh+Agriculture+Entrance+Examination,https://www.shiksha.com/science/colleges/agriculture-colleges-india?rf=searchWidget,,http://collegedekho.com/exam/cg-pat
Chhattisgarh Pre Engineering Test,Official Cutoff,https://collegedunia.com/e-search?term=Chhattisgarh+Pre+Engineering+Test,https://www.shiksha.com/engineering/cg-pet-exam?isource=csearch&rf=searchWidget,https://engineering.careers360.com/exams/cg-pet,https://www.collegedekho.com/exam/cg-pet
Chhattisgarh Pre Pharmacy and Health Sciences Test,Official Cutoff,https://collegedunia.com/e-search?term=Chhattisgarh+Pre+Pharmacy+and+Health+Sciences+Test,https://www.shiksha.com/medicine-health-sciences/pharmacy/ranking/top-pharmacy-colleges-in-chhattisgarh/117-2-104-0-0,,
Chhattisgarh Pre Polytechnic Test,Official Cutoff,https://collegedunia.com/exams/cg-ppt,https://www.shiksha.com/exams/cg-ppt-exam?isource=csearch&rf=searchWidget,https://engineering.careers360.com/exams/cg-ppt,https://www.collegedekho.com/exam/cg-ppt
Chhattisgarh Sanskrit Studies Entrance,No Cutoff Exists,https://collegedunia.com/e-search?term=Chhattisgarh+Sanskrit+Studies+Entrance,,https://www.careers360.com/colleges/shri-rameshwar-gahira-guru-sanskrit-mahavidyalaya-jashpur/admission,https://www.collegedekho.com/articles/national-sanskrit-university-ug-admission-through-cuet/?utm_source=chatgpt.com
Christ University Entrance Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Christ+University+Entrance+Examination,https://www.shiksha.com/bba/christ-university-entrance-test-cuet-exam?rf=searchWidget&landing=ep&isource=csearch,https://www.careers360.com/exams/christ-university-entrance-test,https://www.collegedekho.com/exam/christ-university-entrance-test
Christ University Law Entrance Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Christ+University+Law+Entrance+Examination,https://www.shiksha.com/bba/christ-university-entrance-test-cuet-exam-application-form?rf=searchWidget&landing=ecp&isource=csearch,,
Cochin University of Science and Technology Combined Admission Test – Marine Engineering,Official Cutoff,https://collegedunia.com/e-search?term=Cochin+University+of+Science+and+Technology+Combined+Admission+Test+%E2%80%93+Marine+Engineering,,https://www.careers360.com/exams/cusat-cat,https://www.collegedekho.com/exam/cusat-cat
College of Art Chandigarh Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=College+of+Art+Chandigarh+Entrance+Examination,https://www.shiksha.com/college/government-college-of-arts-chandigarh-29707?rf=searchWidget&landing=ilp&isource=csearch,,
Common Design Entrance Examination,Official Cutoff,http://collegedunia.com/e-search?term=Common+Design+Entrance+Examination,https://www.shiksha.com/design/colleges/colleges-india?rf=searchWidget&sb[]=50&sb[]=51&sb[]=53&sb[]=39&sb[]=24&sb[]=43&sb[]=45,https://design.careers360.com/exams/ceed,https://www.collegedekho.com/exam/ceed
Common Law Admission Test – Undergraduate,Official Cutoff,https://collegedunia.com/exams/clat,,https://law.careers360.com/exams/clat,https://www.collegedekho.com/exam/clat
Common University Entrance Test – Undergraduate,No Cutoff Exists,https://collegedunia.com/exams/cuet,,https://university.careers360.com/exams/cuet-ug,https://www.collegedekho.com/exam/cuet
Company Secretary Executive Entrance Test,No Cutoff Exists,https://collegedunia.com/exams/cseet,https://www.shiksha.com/college/icsi-delhi-institute-of-company-secretaries-of-india-lodi-colony-1633/course-integrated-company-secretary-executive-professional-389567?rf=searchWidget&landing=clp&isource=csearch,https://finance.careers360.com/exams/cs-executive,
Consortium of Medical Engineering and Dental Colleges of Karnataka Undergraduate Entrance Test,Official Cutoff,https://collegedunia.com/e-search?term=Consortium+of+Medical+Engineering+and+Dental+Colleges+of+Karnataka+Undergraduate+Entrance+Test,https://www.shiksha.com/search?q=Consortium%20of%20Medical%20Engineering%20and%20Dental%20Colleges%20of%20Karnataka%20Undergraduate&s[]=18&s[]=2&sb[]=32&st[]=106&pn=1&apk=false&skr=false&rURL=true&pt=assistant&isource=csearch&rf=searchWidget,https://engineering.careers360.com/exams/comedk-uget,https://www.collegedekho.com/exam/comedk-uget
Cost Management Accountancy Foundation Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Cost+Management+Accountancy+Foundation+Examination,https://www.shiksha.com/college/navkar-institute-memnagar-ahmedabad-28281/course-cost-and-management-accountant-foundation-level-164436?rf=searchWidget&landing=clp&isource=csearch,https://finance.careers360.com/exams/cma-foundation,
Craft Instructor Training Scheme Admission,Official Cutoff,https://collegedunia.com/e-search?term=Craft+Instructor+Training+Scheme+Admission,https://www.shiksha.com/search?q=Craft%20Instructor%20Training%20Scheme%20Admission&rf=searchWidget,,
Dadra & Nagar Haveli Polytechnic Entrance,Official Merit List,https://collegedunia.com/e-search?term=Dadra+%26+Nagar+Haveli+Polytechnic+Entrance,https://www.shiksha.com/medicine-health-sciences/colleges/colleges-dadra-and-nagar-haveli?rf=searchWidget&landing=ctp&isource=csearch,,
DAIICT Entrance Test,Official Cutoff,https://collegedunia.com/e-search?term=DAIICT+Entrance+Test,https://ask.shiksha.com/what-is-the-opening-and-closing-rank-for-daiict-gandhi-nagar-for-other-state-students-in-jee-mains-qna-4076747?rf=searchWidget&landing=qdp&isource=csearch,https://www.careers360.com/university/dhirubhai-ambani-university-gandhinagar/admission,
Defence Institute of Advanced Technology Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=Defence+Institute+of+Advanced+Technology+Entrance+Examination,https://www.shiksha.com/college/defence-institute-of-advanced-technology-pune-65105?rf=searchWidget&landing=ilp&isource=csearch,,
Delhi College of Art Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=Delhi+College+of+Art+Entrance+Examination,https://www.shiksha.com/college/delhi-college-of-arts-and-commerce-university-of-delhi-netaji-nagar-23932?rf=searchWidget&landing=ilp&isource=csearch,https://www.careers360.com/university/defence-institute-of-advanced-technology-pune/admission,
Delhi Common Entrance Test for Polytechnic Admission,Official Cutoff,https://collegedunia.com/e-search?term=Delhi+Common+Entrance+Test+for+Polytechnic+Admission,https://www.shiksha.com/search?q=Delhi%20Common%20Entrance%20Test%20for%20Polytechnic%20Admission&rf=searchWidget,https://engineering.careers360.com/exams/delhi-cet,https://www.collegedekho.com/exam/delhi-cet
Diploma in Aviation Admission,No Cutoff Exists,https://collegedunia.com/e-search?term=Diploma+in+Aviation+Admission,,,
Dual System Training Admission,No Cutoff Exists,https://collegedunia.com/e-search?term=Dual+System+Training+Admission,,,
English and Foreign Languages University Entrance Examination – Pashto and Persian,Official Merit List,https://collegedunia.com/e-search?term=English+and+Foreign+Languages+University+Entrance+Examination+%E2%80%93+Pashto+and+Persian,,,
FLAME University Entrance Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=FLAME+University+Entrance+Examination,https://www.shiksha.com/search?q=FLAME%20University%20Entrance%20Examination&rf=searchWidget,https://www.careers360.com/university/flame-university-pune/admission,https://www.collegedekho.com/colleges/flame-university-admission?utm_source=chatgpt.com
Footwear Design and Development Institute All India Selection Test,Official Merit List,https://collegedunia.com/e-search?term=Footwear+Design+and+Development+Institute+All+India+Selection+Test,https://www.shiksha.com/college/footwear-design-and-development-institute-hyderabad-110929?isource=csearch&rf=searchWidget,https://design.careers360.com/articles/what-is-fddi,https://www.collegedekho.com/exam/fddi-aist?utm_source=chatgpt.com
Frankfinn Institute of Air Hostess Training Entrance Test,No Cutoff Exists,https://collegedunia.com/e-search?term=Frankfinn+Institute+of+Air+Hostess+Training+Entrance+Test,https://www.shiksha.com/college/frankfinn-institute-of-air-hostess-training-rajouri-garden-delhi-47223?rf=searchWidget&landing=ilp&isource=csearch,https://hospitality.careers360.com/articles/frankfinn-institute-of-air-hostess-training-admission-procedure?utm_source=chatgpt.com,https://www.collegedekho.com/articles/frankfinn-institute-of-air-hostess-training-admission-procedure/?utm_source=chatgpt.com
Galgotias University Entrance Test,No Cutoff Exists,https://collegedunia.com/e-search?term=Galgotias+University+Entrance+Test,,https://www.careers360.com/university/galgotias-university-greater-noida/admission,
Galileo Global Distribution System Certification Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=Galileo+Global+Distribution+System+Certification+Examination,,,
General Nursing and Midwifery Admission,No Cutoff Exists,https://collegedunia.com/e-search?term=General+Nursing+and+Midwifery+Admission,https://www.shiksha.com/college/kamala-nehru-memorial-hospital-school-of-general-nursing-and-midwifery-allahabad-199835/admission?rf=searchWidget&landing=ilpcp&isource=csearch,,
General Purpose Rating Course Admission,No Cutoff Exists,https://collegedunia.com/e-search?term=General+Purpose+Rating+Course+Admission,https://www.shiksha.com/college/u-v-patel-college-of-engineering-ganpat-university-mehsana-53520/course-general-purpose-rating-marine-841081?rf=searchWidget&landing=clp&isource=csearch,,
GLS University Design Entrance Examination,No Cutoff Exists,https://collegedunia.com/e-search?term=GLS+University+Design+Entrance+Examination,,https://www.careers360.com/university/gls-university-ahmedabad/admission,
Goa Common Entrance Test,Official Cutoff,https://collegedunia.com/e-search?term=Goa+Common+Entrance+Test,https://www.shiksha.com/engineering/gcet-exam?isource=csearch&rf=searchWidget,,
Goa Common Entrance Test – Engineering,Official Cutoff,https://collegedunia.com/e-search?term=Goa+Common+Entrance+Test+%E2%80%93+Engineering,,https://engineering.careers360.com/exams/gcet,
Goa Polytechnic Entrance Examination,Official Cutoff,https://collegedunia.com/e-search?term=Goa+Polytechnic+Entrance+Examination,,,
Graphic Era University Entrance Test,No Cutoff Exists,https://collegedunia.com/e-search?term=Graphic+Era+University+Entrance+Test,https://www.shiksha.com/university/graphic-era-deemed-to-be-university-dehradun-22612?rf=searchWidget&landing=ilp&isource=csearch,https://www.careers360.com/university/graphic-era-university-dehradun/admission,https://www.collegedekho.com/colleges/graphic-era-university-admission
Gujarat Common Entrance Test,Official Cutoff,https://collegedunia.com/e-search?term=Gujarat+Common+Entrance+Test,https://www.shiksha.com/engineering/gujcet-exam?isource=csearch&rf=searchWidget,https://www.careers360.com/exams/gujcet,https://www.collegedekho.com/exam/gujcet
Gujarat Common Entrance Test – Medical and Pharmacy,Official Cutoff,https://collegedunia.com/e-search?term=Gujarat+Common+Entrance+Test+%E2%80%93+Medical+and+Pharmacy,,https://www.careers360.com/exams/gujcet,https://www.collegedekho.com/exam/gujcet
Gujarat Common Entrance Test – Polytechnic,Official Cutoff,https://collegedunia.com/e-search?term=Gujarat+Common+Entrance+Test+%E2%80%93+Polytechnic,,,
Guru Gobind Singh Indraprastha University Common Entrance Test,Official Cutoff,https://collegedunia.com/e-search?term=Guru+Gobind+Singh+Indraprastha+University+Common+Entrance+Test,https://www.shiksha.com/search?q=Guru%20Gobind%20Singh%20Indraprastha%20University%20Common%20Entrance%20Test&rf=searchWidget,https://university.careers360.com/exams/ipu-cet,https://www.collegedekho.com/exam/ipu-cet
Guru Gobind Singh Indraprastha University Common Entrance Test for Bachelor of Hotel Management and Catering Technology,Official Cutoff,https://collegedunia.com/e-search?term=Guru+Gobind+Singh+Indraprastha+University+Common+Entrance+Test+for+Bachelor+of+Hotel+Management+and+Catering+Technology,https://www.shiksha.com/search?q=Guru%20Gobind%20Singh%20Indraprastha%20University%20Common%20Entrance%20Test%20for%20Bachelor%20of%20H&rf=searchWidget,https://university.careers360.com/exams/ipu-cet,https://www.collegedekho.com/exam/ipu-cet
Guru Gobind Singh Indraprastha University Common Entrance Test for Bachelor of Journalism and Mass Communication,Official Cutoff,https://collegedunia.com/e-search?term=Guru+Gobind+Singh+Indraprastha+University+Common+Entrance+Test+for+Bachelor+of+Journalism+and+Mass+Communication,https://www.shiksha.com/search?q=Guru%20Gobind%20Singh%20Indraprastha%20University%20Common%20Entrance%20Test%20for%20Bachelor%20of%20J&rf=searchWidget,https://university.careers360.com/exams/ipu-cet,https://www.collegedekho.com/exam/ipu-cet
Haryana Agriculture Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=Haryana+Agriculture+Entrance+Examination,,,
Haryana Bachelor of Arts Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=Haryana+Bachelor+of+Arts+Entrance+Examination,,,
Haryana Bachelor of Business Administration Admission,Official Merit List,https://collegedunia.com/e-search?term=Haryana+Bachelor+of+Business+Administration+Admission,,https://www.careers360.com/courses/bba-bachelor-of-business-administration,
Himachal Pradesh Bachelor of Arts Entrance Examination,Official Merit List,https://collegedunia.com/e-search?term=Himachal+Pradesh+Bachelor+of+Arts+Entrance+Examination,https://www.shiksha.com/college/department-of-evening-studies-himachal-pradesh-university-shimla-132611/course-bachelor-of-arts-b-a-651857?rf=searchWidget&landing=clp&isource=csearch,,
Himachal Pradesh Bachelor of Business Administration Admission,Official Merit List,https://collegedunia.com/e-search?term=Himachal+Pradesh+Bachelor+of+Business+Administration+Admission,https://www.shiksha.com/university/himachal-pradesh-university-shimla-22226/course-bachelor-of-business-administration-bba-59436?rf=searchWidget&landing=clp&isource=csearch,https://www.careers360.com/courses/bba-bachelor-of-business-administration,
Himachal Pradesh Common Entrance Test,Official Cutoff,https://collegedunia.com/e-search?term=Himachal+Pradesh+Common+Entrance+Test,https://www.shiksha.com/engineering/hpcet-exam?isource=csearch&rf=searchWidget,https://www.careers360.com/exams/hpcet,https://www.collegedekho.com/exam/hpcet
