Exam Name,Link of website,College Name,City,State,Program,Branch,Year - cutoff,Round #,Gender,Quota,Category,Opening Rank,Closing Rank,Cutoff Percentile/Score,Link - Data Taken from
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Gandhi Nagar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,4916.0,7909.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Gandhi Nagar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,5768.0,6593.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Gandhi Nagar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,215.0,4787.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Gandhi Nagar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,6231.0,7923.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Goa,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,3383.0,8355.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Goa,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,3371.0,8131.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Goa,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,197.0,3179.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Goa,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,3310.0,7695.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Goa,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,ST,6140.0,6794.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Gurdaspur,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,1034.0,8361.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Guwahati,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,129.0,7651.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Gwalior,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,1338.0,8480.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Hyderabad,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,2079.0,6685.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Hyderabad,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,2089.0,7899.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Hyderabad,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,65.0,2075.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Hyderabad,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,2384.0,7915.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Hyderabad,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,ST,4411.0,8080.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Hajipur,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,2591.0,8267.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Jaipur,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,5607.0,7476.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Jaipur,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,720.0,4997.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Jaipur,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,6182.0,7990.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Shimla,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,6150.0,8148.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Shimla,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,5945.0,8240.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Shimla,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,416.0,5798.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Shimla,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,5944.0,6695.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Kolkata,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,2181.0,8210.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Kolkata,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,2200.0,8173.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Kolkata,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,13.0,1888.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Kolkata,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,2082.0,8408.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Kolkata,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,ST,3496.0,4537.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Lucknow,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,3546.0,8432.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Lucknow,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,3508.0,7480.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Lucknow,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,41.0,3487.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Lucknow,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,3518.0,7776.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Mumbai,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,959.0,3872.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Mumbai,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,818.0,4703.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Mumbai,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,12.0,776.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Mumbai,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,970.0,4690.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Mumbai,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,ST,1059.0,8411.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,"IHM Delhi, Pusa",,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,319.0,1779.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,"IHM Delhi, Pusa",,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,343.0,1499.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,"IHM Delhi, Pusa",,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,2.0,300.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,"IHM Delhi, Pusa",,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,350.0,2858.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,"IHM Delhi, Pusa",,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,ST,1326.0,5582.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Shillong,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,1604.0,7799.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Srinagar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,2146.0,8290.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Thiruvananthapuram,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,4443.0,8485.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Thiruvananthapuram,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,4418.0,7302.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Thiruvananthapuram,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,108.0,4371.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Thiruvananthapuram,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,4689.0,8406.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Ashok Delhi,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,1861.0,7520.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Ashok Delhi,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,2166.0,4241.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Ashok Delhi,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,179.0,1744.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Ashok Delhi,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,3419.0,5330.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,CIHM-Chandigarh,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,338.0,7894.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Dehradun,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,992.0,8430.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM Pondicherry,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,2783.0,8413.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Faridabad,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,2767.0,8192.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Gangtok,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,7615.0,7615.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Hamirpur,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,1488.0,8370.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Jodhpur,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,3276.0,8400.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Kurukshetra,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,3603.0,8204.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Kozhikode,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,1175.0,8462.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,DIHM-Lajpat Nagar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,336.0,8384.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Bathinda,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,6294.0,7866.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,SIHM-Rohtak,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,5674.0,7512.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
